ID,DESCRIPTION,IGNORED,CATEGORY,TABLE,COLUMN,LEVEL
131,Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
132,Average market income in 2020 among recipients ($),TRUE,,,,2
133,Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
134,Average employment income in 2020 among recipients ($),TRUE,,,,2
135,Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
136,Average government transfers in 2020 among recipients ($),TRUE,,,,2
137,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
138,Average employment insurance benefits in 2020 among recipients ($),TRUE,,,,2
139,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
140,Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),TRUE,,,,2
141,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data (12),TRUE,,,,0
142,Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data (13),TRUE,,,,1
143,Median employment income in 2020 for full-year full-time workers in 2020 ($) (14),TRUE,,,,2
144,Average employment income in 2020 for full-year full-time workers in 2020 ($) (15),TRUE,,,,2
145,Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data (16),TRUE,,,,1
146,Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),TRUE,,,,2
147,Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),TRUE,,,,2
148,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data (17),TRUE,,,,0
149,Market income (%) (18),TRUE,,,,1
150,Employment income (%) (19),TRUE,,,,2
151,Government transfers (%) (20),TRUE,,,,1
152,Employment insurance benefits (%),TRUE,,,,2
153,COVID-19 - Government income support and benefits (%),TRUE,,,,2
154,COVID-19 - Emergency and recovery benefits (%),TRUE,,,,3
155,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data (21),TRUE,,,,0
156,Without total income,TRUE,,,,1
157,With total income,TRUE,,,,1
158,"Under $10,000 (including loss)",TRUE,,,,2
159,"$10,000 to $19,999",TRUE,,,,2
160,"$20,000 to $29,999",TRUE,,,,2
161,"$30,000 to $39,999",TRUE,,,,2
162,"$40,000 to $49,999",TRUE,,,,2
163,"$50,000 to $59,999",TRUE,,,,2
164,"$60,000 to $69,999",TRUE,,,,2
165,"$70,000 to $79,999",TRUE,,,,2
166,"$80,000 to $89,999",TRUE,,,,2
167,"$90,000 to $99,999",TRUE,,,,2
168,"$100,000 and over",TRUE,,,,2
169,"$100,000 to $149,999",TRUE,,,,3
170,"$150,000 and over",TRUE,,,,3
171,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data (22),TRUE,,,,0
172,Without after-tax income,TRUE,,,,1
173,With after-tax income,TRUE,,,,1
174,"Under $10,000 (including loss)",TRUE,,,,2
175,"$10,000 to $19,999",TRUE,,,,2
176,"$20,000 to $29,999",TRUE,,,,2
177,"$30,000 to $39,999",TRUE,,,,2
178,"$40,000 to $49,999",TRUE,,,,2
179,"$50,000 to $59,999",TRUE,,,,2
180,"$60,000 to $69,999",TRUE,,,,2
181,"$70,000 to $79,999",TRUE,,,,2
182,"$80,000 to $89,999",TRUE,,,,2
183,"$90,000 to $99,999",TRUE,,,,2
184,"$100,000 and over",TRUE,,,,2
185,"$100,000 to $124,999",TRUE,,,,3
186,"$125,000 and over",TRUE,,,,3
187,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data (19),TRUE,,,,0
188,Without employment income,TRUE,,,,1
189,With employment income,TRUE,,,,1
190,"Under $5,000 (including loss)",TRUE,,,,2
191,"$5,000 to $9,999",TRUE,,,,2
192,"$10,000 to $19,999",TRUE,,,,2
193,"$20,000 to $29,999",TRUE,,,,2
194,"$30,000 to $39,999",TRUE,,,,2
195,"$40,000 to $49,999",TRUE,,,,2
196,"$50,000 to $59,999",TRUE,,,,2
197,"$60,000 to $69,999",TRUE,,,,2
198,"$70,000 to $79,999",TRUE,,,,2
199,"$80,000 to $89,999",TRUE,,,,2
200,"$90,000 to $99,999",TRUE,,,,2
201,"$100,000 and over",TRUE,,,,2
202,"$100,000 to $124,999",TRUE,,,,3
203,"$125,000 and over",TRUE,,,,3
204,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data (23),TRUE,,,,0
205,Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,TRUE,,,,1
206,Median total income in 2019 among recipients ($),TRUE,,,,2
207,Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,TRUE,,,,1
208,Median after-tax income in 2019 among recipients ($),TRUE,,,,2
209,Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,TRUE,,,,1
210,Median market income in 2019 among recipients ($),TRUE,,,,2
211,Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,TRUE,,,,1
212,Median employment income in 2019 among recipients ($),TRUE,,,,2
213,Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,TRUE,,,,1
214,Median government transfers in 2019 among recipients ($),TRUE,,,,2
215,Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,TRUE,,,,1
216,Median employment insurance benefits in 2019 among recipients ($),TRUE,,,,2
217,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data (24),TRUE,,,,0
218,Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,TRUE,,,,1
219,Average total income in 2019 among recipients ($),TRUE,,,,2
220,Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,TRUE,,,,1
221,Average after-tax income in 2019 among recipients ($),TRUE,,,,2
222,Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,TRUE,,,,1
223,Average market income in 2019 among recipients ($),TRUE,,,,2
224,Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,TRUE,,,,1
225,Average employment income in 2019 among recipients ($),TRUE,,,,2
226,Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,TRUE,,,,1
227,Average government transfers in 2019 among recipients ($),TRUE,,,,2
228,Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,TRUE,,,,1
229,Average employment insurance benefits in 2019 among recipients ($),TRUE,,,,2
230,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data (25),TRUE,,,,0
231,Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data (13),TRUE,,,,1
232,Median employment income in 2019 for full-year full-time workers in 2020 ($) (14),TRUE,,,,2
233,Average employment income in 2019 for full-year full-time workers in 2020 ($) (15),TRUE,,,,2
234,Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data (16),TRUE,,,,1
235,Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),TRUE,,,,2
236,Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),TRUE,,,,2
237,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,TRUE,,,,0
238,Market income (%),TRUE,,,,1
239,Employment income (%),TRUE,,,,2
240,Government transfers (%),TRUE,,,,1
241,Employment insurance benefits (%),TRUE,,,,2
242,Total - Income statistics for private households - 100% data (26),TRUE,,,,0
243,Median total income of household in 2020 ($),TRUE,,,,1
244,Median after-tax income of household in 2020 ($),TRUE,,,,1
245,Total - Income statistics for one-person private households - 100% data,TRUE,,,,2
246,Median total income of one-person households in 2020 ($),TRUE,,,,3
247,Median after-tax income of one-person households in 2020 ($),TRUE,,,,3
248,Total - Income statistics for two-or-more-persons private households - 100% data,TRUE,,,,2
249,Median total income of two-or-more-person households in 2020 ($),TRUE,,,,3
250,Median after-tax income of two-or-more-person households in 2020 ($),TRUE,,,,3
251,Total - Income statistics for private households - 25% sample data (27),TRUE,,,,0
252,Average total income of household in 2020 ($),TRUE,,,,1
253,Average after-tax income of household in 2020 ($),TRUE,,,,1
254,Total - Income statistics for one-person private households - 25% sample data,TRUE,,,,2
255,Average total income of one-person households in 2020 ($),TRUE,,,,3
256,Average after-tax income of one-person households in 2020 ($),TRUE,,,,3
257,Total - Income statistics for two-or-more-persons private households - 25% sample data,TRUE,,,,2
258,Average total income of two-or-more-person households in 2020 ($),TRUE,,,,3
259,Average after-tax income of two-or-more-person households in 2020 ($),TRUE,,,,3
260,Total - Household total income groups in 2020 for private households - 100% data (21),FALSE,,,,0
261,"Under $5,000",FALSE,,da_income_info,under_5k,1
262,"$5,000 to $9,999",FALSE,,da_income_info,from_5k_to_10k,1
263,"$10,000 to $14,999",FALSE,,da_income_info,from_10k_to_10k,1
264,"$15,000 to $19,999",FALSE,,da_income_info,from_15k_to_20k,1
265,"$20,000 to $24,999",FALSE,,da_income_info,from_20k_to_25k,1
266,"$25,000 to $29,999",FALSE,,da_income_info,from_25k_to_30k,1
267,"$30,000 to $34,999",FALSE,,da_income_info,from_30k_to_35k,1
268,"$35,000 to $39,999",FALSE,,da_income_info,from_35k_to_40k,1
269,"$40,000 to $44,999",FALSE,,da_income_info,from_40k_to_45k,1
270,"$45,000 to $49,999",FALSE,,da_income_info,from_45k_to_50k,1
271,"$50,000 to $59,999",FALSE,,da_income_info,from_50k_to_60k,1
272,"$60,000 to $69,999",FALSE,,da_income_info,from_60k_to_70k,1
273,"$70,000 to $79,999",FALSE,,da_income_info,from_70k_to_80k,1
274,"$80,000 to $89,999",FALSE,,da_income_info,from_80k_to_90k,1
275,"$90,000 to $99,999",FALSE,,da_income_info,from_90k_to_100k,1
276,"$100,000 and over",FALSE,,,,1
277,"$100,000 to $124,999",FALSE,,da_income_info,from_100k_to_125k,2
278,"$125,000 to $149,999",FALSE,,da_income_info,from_125k_to_150k,2
279,"$150,000 to $199,999",FALSE,,da_income_info,from_150k_to_200k,2
280,"$200,000 and over",FALSE,,da_income_info,from_200k_and_over,2
281,Total - Household after-tax income groups in 2020 for private households - 100% data (22),TRUE,,,,0
282,"Under $5,000",TRUE,,,,1
283,"$5,000 to $9,999",TRUE,,,,1
284,"$10,000 to $14,999",TRUE,,,,1
285,"$15,000 to $19,999",TRUE,,,,1
286,"$20,000 to $24,999",TRUE,,,,1
287,"$25,000 to $29,999",TRUE,,,,1
288,"$30,000 to $34,999",TRUE,,,,1
289,"$35,000 to $39,999",TRUE,,,,1
290,"$40,000 to $44,999",TRUE,,,,1
291,"$45,000 to $49,999",TRUE,,,,1
292,"$50,000 to $59,999",TRUE,,,,1
293,"$60,000 to $69,999",TRUE,,,,1
294,"$70,000 to $79,999",TRUE,,,,1
295,"$80,000 to $89,999",TRUE,,,,1
296,"$90,000 to $99,999",TRUE,,,,1
297,"$100,000 and over",TRUE,,,,1
298,"$100,000 to $124,999",TRUE,,,,2
299,"$125,000 to $149,999",TRUE,,,,2
300,"$150,000 and over",TRUE,,,,2
301,Total - Income statistics for economic families in private households - 100% data (28),TRUE,,,,0
302,Median total income of economic family in 2020 ($),TRUE,,,,1
303,Median after-tax income of economic family in 2020 ($),TRUE,,,,1
304,Average family size of economic families,TRUE,,,,1
305,Total - Income statistics for couple-only economic families in private households - 100% data,TRUE,,,,0
306,Median total income of couple-only economic families in 2020 ($),TRUE,,,,1
307,Median after-tax income of couple-only economic families in 2020 ($),TRUE,,,,1
308,Average family size of couple-only economic families,TRUE,,,,1
309,Total - Income statistics for couple-with-children economic families in private households - 100% data,TRUE,,,,0
310,Median total income of couple-with-children economic families  in 2020 ($),TRUE,,,,1
311,Median after-tax income of couple-with-children economic families in 2020 ($),TRUE,,,,1
312,Average family size of couple-with-children economic families,TRUE,,,,1
313,Total - Income statistics for one-parent economic families in private households - 100% data,TRUE,,,,0
314,Median total income of one-parent economic families in 2020 ($),TRUE,,,,1
315,Median after-tax income of one-parent economic families in 2020 ($),TRUE,,,,1
316,Average family size of one-parent economic families,TRUE,,,,1
317,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data (29),TRUE,,,,0
318,Median total income in 2020 ($) (30),TRUE,,,,1
319,Median after-tax income in 2020 ($) (30),TRUE,,,,1
320,Total - Income statistics for economic families in private households - 25% sample data (31),TRUE,,,,0
321,Average total income of economic family in 2020 ($),TRUE,,,,1
322,Average after-tax income of economic family in 2020 ($),TRUE,,,,1
323,Total - Income statistics for couple-only economic families in private households - 25% sample data,TRUE,,,,0
324,Average total income of couple-only economic families in 2020 ($),TRUE,,,,1
325,Average after-tax income of couple-only economic families in 2020 ($),TRUE,,,,1
326,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,TRUE,,,,0
327,Average total income of couple-with-children economic families in 2020 ($),TRUE,,,,1
328,Average after-tax income of couple-with-children economic families in 2020 ($),TRUE,,,,1
329,Total - Income statistics for one-parent economic families in private households - 25% sample data,TRUE,,,,0
330,Average total income of one-parent economic families in 2020 ($),TRUE,,,,1
331,Average after-tax income of one-parent economic families in 2020 ($),TRUE,,,,1
332,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data (32),TRUE,,,,0
333,Average total income in 2020 ($) (30),TRUE,,,,1
334,Average after-tax income in 2020 ($) (30),TRUE,,,,1
335,Total - LIM low-income status in 2020 for the population in private households - 100% data (33),TRUE,,,,0
336,0 to 17 years,TRUE,,,,1
337,0 to 5 years,TRUE,,,,2
338,18 to 64 years,TRUE,,,,1
339,65 years and over,TRUE,,,,1
340,"In low income based on the Low-income measure, after tax (LIM-AT)",TRUE,,,,0
341,0 to 17 years,TRUE,,,,1
342,0 to 5 years,TRUE,,,,2
343,18 to 64 years,TRUE,,,,1
344,65 years and over,TRUE,,,,1
345,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",TRUE,,,,0
346,0 to 17 years (%),TRUE,,,,1
347,0 to 5 years (%),TRUE,,,,2
348,18 to 64 years (%),TRUE,,,,1
349,65 years and over (%),TRUE,,,,1
350,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data (33),TRUE,,,,0
351,0 to 17 years,TRUE,,,,1
352,0 to 5 years,TRUE,,,,2
353,18 to 64 years,TRUE,,,,1
354,65 years and over,TRUE,,,,1
355,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",TRUE,,,,0
356,0 to 17 years,TRUE,,,,1
357,0 to 5 years,TRUE,,,,2
358,18 to 64 years,TRUE,,,,1
359,65 years and over,TRUE,,,,1
360,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",TRUE,,,,0
361,0 to 17 years (%),TRUE,,,,1
362,0 to 5 years (%),TRUE,,,,2
363,18 to 64 years (%),TRUE,,,,1
364,65 years and over (%),TRUE,,,,1
365,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data (34),TRUE,,,,0
366,In bottom half of the distribution,TRUE,,,,1
367,In bottom decile,TRUE,,,,2
368,In second decile,TRUE,,,,2
369,In third decile,TRUE,,,,2
370,In fourth decile,TRUE,,,,2
371,In fifth decile,TRUE,,,,2
372,In top half of the distribution,TRUE,,,,1
373,In sixth decile,TRUE,,,,2
374,In seventh decile,TRUE,,,,2
375,In eighth decile,TRUE,,,,2
376,In ninth decile,TRUE,,,,2
377,In top decile,TRUE,,,,2
378,Total - Inequality measures for the population in private households - 100% data (35),TRUE,,,,0
379,Gini index on adjusted household total income,TRUE,,,,1
380,Gini index on adjusted household market income,TRUE,,,,1
381,Gini index on adjusted household after-tax income,TRUE,,,,1
382,P90/P10 ratio on adjusted household after-tax income,TRUE,,,,1
383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data (36),TRUE,,,,0
384,English only,TRUE,,,,1
385,French only,TRUE,,,,1
386,English and French,TRUE,,,,1
387,Neither English nor French,TRUE,,,,1
388,Total - First official language spoken for the total population excluding institutional residents - 100% data (37),TRUE,,,,0
389,English,TRUE,,,,1
390,French,TRUE,,,,1
391,English and French,TRUE,,,,1
392,Neither English nor French,TRUE,,,,1
393,Total - Mother tongue for the total population excluding institutional residents - 100% data (38),TRUE,,,,0
394,Single responses,TRUE,,,,1
395,Official languages,TRUE,,,,2
396,English,TRUE,,,,3
397,French,TRUE,,,,3
398,Non-official languages,TRUE,,,,2
399,Indigenous languages (39),TRUE,,,,3
400,Algonquian languages,TRUE,,,,4
401,Blackfoot,TRUE,,,,5
402,Cree-Innu languages,TRUE,,,,5
403,Atikamekw,TRUE,,,,6
404,Cree languages,TRUE,,,,6
405,Ililimowin (Moose Cree),TRUE,,,,7
406,Inu Ayimun (Southern East Cree),TRUE,,,,7
407,Iyiyiw-Ayimiwin (Northern East Cree),TRUE,,,,7
408,Nehinawewin (Swampy Cree),TRUE,,,,7
409,Nehiyawewin (Plains Cree),TRUE,,,,7
410,Nihithawiwin (Woods Cree),TRUE,,,,7
411,"Cree, n.o.s.",TRUE,,,,7
412,Innu (Montagnais),TRUE,,,,6
413,Naskapi,TRUE,,,,6
414,Eastern Algonquian languages,TRUE,,,,5
415,Mi'kmaq,TRUE,,,,6
416,Wolastoqewi (Malecite),TRUE,,,,6
417,Ojibway-Potawatomi languages,TRUE,,,,5
418,Anicinabemowin (Algonquin),TRUE,,,,6
419,Oji-Cree,TRUE,,,,6
420,Ojibway languages,TRUE,,,,6
421,Anishinaabemowin (Chippewa),TRUE,,,,7
422,Daawaamwin (Odawa),TRUE,,,,7
423,Saulteau (Western Ojibway),TRUE,,,,7
424,"Ojibway, n.o.s.",TRUE,,,,7
425,"Algonquian languages, n.i.e.",TRUE,,,,5
426,Athabaskan languages,TRUE,,,,4
427,Northern Athabaskan languages,TRUE,,,,5
428,Dakelh (Carrier),TRUE,,,,6
429,Dane-zaa (Beaver),TRUE,,,,6
430,"Dene, n.o.s.",TRUE,,,,6
431,Gwich'in,TRUE,,,,6
432,Slavey-Hare languages,TRUE,,,,6
433,Deh Gah Ghotie Zhatie (South Slavey),TRUE,,,,7
434,Satuotine Yati (North Slavey),TRUE,,,,7
435,"Slavey, n.o.s.",TRUE,,,,7
436,Tahltan languages,TRUE,,,,6
437,Kaska (Nahani),TRUE,,,,7
438,Tahltan,TRUE,,,,7
439,Tlicho (Dogrib),TRUE,,,,6
440,Tse'khene (Sekani),TRUE,,,,6
441,Tsilhqot'in (Chilcotin),TRUE,,,,6
442,Tsuu T'ina (Sarsi),TRUE,,,,6
443,Tutchone languages,TRUE,,,,6
444,Northern Tutchone,TRUE,,,,7
445,Southern Tutchone,TRUE,,,,7
446,"Tutchone, n.o.s.",TRUE,,,,7
447,Wetsuwet'en-Babine,TRUE,,,,6
448,Tlingit,TRUE,,,,5
449,"Athabaskan languages, n.i.e.",TRUE,,,,5
450,Haida,TRUE,,,,4
451,Inuktut (Inuit) languages,TRUE,,,,4
452,Inuinnaqtun (Inuvialuktun),TRUE,,,,5
453,Inuinnaqtun,TRUE,,,,6
454,Inuvialuktun,TRUE,,,,6
455,Inuktitut,TRUE,,,,5
456,"Inuktut (Inuit) languages, n.i.e.",TRUE,,,,5
457,Iroquoian languages,TRUE,,,,4
458,Cayuga,TRUE,,,,5
459,Mohawk,TRUE,,,,5
460,Oneida,TRUE,,,,5
461,"Iroquoian languages, n.i.e.",TRUE,,,,5
462,Ktunaxa (Kutenai),TRUE,,,,4
463,Michif,TRUE,,,,4
464,Salish languages,TRUE,,,,4
465,Halkomelem,TRUE,,,,5
466,Lillooet,TRUE,,,,5
467,Ntlakapamux (Thompson),TRUE,,,,5
468,Secwepemctsin (Shuswap),TRUE,,,,5
469,Squamish,TRUE,,,,5
470,Straits,TRUE,,,,5
471,Syilx (Okanagan),TRUE,,,,5
472,"Salish languages, n.i.e.",TRUE,,,,5
473,Siouan languages,TRUE,,,,4
474,Assiniboine,TRUE,,,,5
475,Dakota,TRUE,,,,5
476,Stoney,TRUE,,,,5
477,"Siouan languages, n.i.e.",TRUE,,,,5
478,Tsimshian languages,TRUE,,,,4
479,Gitxsan (Gitksan),TRUE,,,,5
480,Nisga'a,TRUE,,,,5
481,Tsimshian,TRUE,,,,5
482,Wakashan languages,TRUE,,,,4
483,Haisla,TRUE,,,,5
484,Heiltsuk,TRUE,,,,5
485,Kwak'wala (Kwakiutl),TRUE,,,,5
486,Nuu-chah-nulth (Nootka),TRUE,,,,5
487,"Wakashan languages, n.i.e.",TRUE,,,,5
488,"Indigenous languages, n.i.e.",TRUE,,,,4
489,"Indigenous languages, n.o.s.",TRUE,,,,4
490,Non-Indigenous languages,TRUE,,,,3
491,Afro-Asiatic languages,TRUE,,,,4
492,Berber languages,TRUE,,,,5
493,Kabyle,TRUE,,,,6
494,Tamazight,TRUE,,,,6
495,"Berber languages, n.i.e.",TRUE,,,,6
496,Chadic languages,TRUE,,,,5
497,Hausa,TRUE,,,,6
498,Mina,TRUE,,,,6
499,Coptic,TRUE,,,,5
500,Cushitic languages,TRUE,,,,5
501,Bilen,TRUE,,,,6
